A=4002 B=5748 C=7681 X=792823078 Y=6109071834 Z=22736797288 M=152
A=9130 B=8182 C=8807 X=610755508 Y=9583874052 Z=93503653480 M=150
A=4694 B=4212 C=5047 X=768160967 Y=8076187924 Z=72088615137 M=198
A=3452 B=9229 C=8076 X=268907668 Y=6030597082 Z=82137426178 M=63
A=6648 B=8019 C=8862 X=228970671 Y=8482259210 Z=72032291382 M=56
A=3621 B=5943 C=9924 X=948816989 Y=4333778971 Z=74859523729 M=69
A=7334 B=6483 C=8439 X=785762381 Y=8267045019 Z=42771808187 M=115
A=9075 B=9519 C=7556 X=760006080 Y=6748669850 Z=67345845927 M=195
A=7158 B=6246 C=5868 X=302797237 Y=7573708975 Z=78338445866 M=111
A=9131 B=5323 C=8251 X=185452296 Y=9833743326 Z=51567472589 M=130
A=7998 B=9714 C=5143 X=422973591 Y=8174344748 Z=12781112361 M=156
A=3662 B=5255 C=7537 X=251958033 Y=5744651479 Z=88566615189 M=196
A=3964 B=9495 C=6726 X=609799863 Y=8805819159 Z=45224637502 M=91
A=4193 B=4761 C=6323 X=363640352 Y=3200026379 Z=38257335649 M=162
A=2132 B=5271 C=9739 X=193112727 Y=7784881871 Z=41005170321 M=148
A=2928 B=5752 C=7047 X=991027372 Y=3751320956 Z=72851845816 M=123
A=8392 B=9279 C=9391 X=425115257 Y=2768213558 Z=72223246514 M=87
A=3527 B=9159 C=8819 X=747128034 Y=6835247888 Z=31603624808 M=129
A=2960 B=8428 C=6134 X=454768421 Y=5802974522 Z=70855676560 M=83
A=4942 B=8399 C=7288 X=815632051 Y=6761832993 Z=64459251202 M=146
A=5085 B=6195 C=8081 X=251403469 Y=4367870170 Z=33332003977 M=189
A=2100 B=6998 C=9205 X=133114031 Y=1101050961 Z=94017611917 M=58
A=2262 B=6721 C=7946 X=308814324 Y=7471770075 Z=85586020790 M=115
A=9880 B=7918 C=9574 X=898268270 Y=2199601943 Z=43995756638 M=75
A=5025 B=8416 C=8274 X=676368952 Y=9469509721 Z=17492812507 M=78
A=6404 B=4634 C=5805 X=553383915 Y=2870637513 Z=72135004460 M=117
A=3751 B=8006 C=5552 X=918196734 Y=5943444585 Z=37709221490 M=195
A=5988 B=3921 C=9641 X=987726544 Y=6927818946 Z=71082903760 M=64
A=9517 B=6047 C=7024 X=712458273 Y=4892908686 Z=49304513924 M=183
A=9436 B=8762 C=5202 X=639740337 Y=5016608426 Z=78664762997 M=171
A=2031 B=6358 C=8115 X=471682836 Y=3984971966 Z=47634806606 M=65
A=3599 B=7869 C=9558 X=590779309 Y=3843197749 Z=51706533209 M=69
A=8563 B=5518 C=5849 X=902788661 Y=3697351931 Z=11700011709 M=180
A=7280 B=5775 C=8619 X=592729891 Y=6906136484 Z=59978534549 M=139
A=9823 B=6041 C=9141 X=390102038 Y=2000051517 Z=18879947583 M=71
A=5193 B=3823 C=8131 X=367973007 Y=3164043808 Z=45529491644 M=116
A=4688 B=6857 C=6730 X=174822696 Y=4335024062 Z=83007118849 M=150
A=3601 B=3828 C=7716 X=822963450 Y=4570321351 Z=35492821819 M=109
A=9161 B=3016 C=7511 X=188265551 Y=3516390176 Z=33736725066 M=63
